time,tweets
2020-06-02 20:00:00,105025
2020-06-02 21:00:00,79327
2020-06-02 22:00:00,63580
2020-06-02 23:00:00,61772
2020-06-03 00:00:00,64057
2020-06-03 01:00:00,76825
2020-06-03 02:00:00,76297
2020-06-03 03:00:00,72718
2020-06-03 04:00:00,55336
2020-06-03 05:00:00,66702
2020-06-03 06:00:00,52012
2020-06-03 07:00:00,38694
2020-06-03 08:00:00,31372
2020-06-03 09:00:00,27300
2020-06-03 10:00:00,27733
2020-06-03 11:00:00,31570
2020-06-03 12:00:00,34333
2020-06-03 13:00:00,38071
2020-06-03 14:00:00,37216
2020-06-03 15:00:00,41570
2020-06-03 16:00:00,39517
2020-06-03 17:00:00,35548
2020-06-03 18:00:00,114203
2020-06-03 19:00:00,105351
2020-06-03 20:00:00,65198
2020-06-03 21:00:00,51095
2020-06-03 22:00:00,61120
2020-06-03 23:00:00,67143
2020-06-04 00:00:00,67025
2020-06-04 01:00:00,51448
2020-06-04 02:00:00,50655
2020-06-04 03:00:00,48047
2020-06-04 04:00:00,39518
2020-06-04 05:00:00,30756
2020-06-04 06:00:00,22641
2020-06-04 07:00:00,21451
2020-06-04 08:00:00,20214
2020-06-04 09:00:00,17729
2020-06-04 10:00:00,18612
2020-06-04 11:00:00,20307
2020-06-04 12:00:00,24309
2020-06-04 13:00:00,26325
2020-06-04 14:00:00,27075
2020-06-04 15:00:00,24880
2020-06-04 16:00:00,24998
2020-06-04 17:00:00,27550
2020-06-04 18:00:00,30228
2020-06-04 19:00:00,33130
2020-06-04 20:00:00,29635
2020-06-04 21:00:00,24268
2020-06-04 22:00:00,23318
2020-06-04 23:00:00,20113
2020-06-05 00:00:00,18116
2020-06-05 01:00:00,16146
2020-06-05 02:00:00,14738
2020-06-05 03:00:00,14806
2020-06-05 04:00:00,14069
2020-06-05 05:00:00,12169
2020-06-05 06:00:00,10176
2020-06-05 07:00:00,9678
2020-06-05 08:00:00,8860
2020-06-05 09:00:00,8564
2020-06-05 10:00:00,9073
2020-06-05 11:00:00,10463
2020-06-05 12:00:00,12581
2020-06-05 13:00:00,14230
2020-06-05 14:00:00,13993
2020-06-05 15:00:00,19122
2020-06-05 16:00:00,22453
2020-06-05 17:00:00,20700
2020-06-05 18:00:00,19173
2020-06-05 19:00:00,17574
2020-06-05 20:00:00,16941
2020-06-05 21:00:00,18041
2020-06-05 22:00:00,18745
2020-06-05 23:00:00,17281
2020-06-06 00:00:00,1911
