tweet url,count,archive url
https://twitter.com/crystal1johnson/status/860252094246248448,http://web.archive.org/web/20170701152942/https://twitter.com/crystal1johnson/status/860252094246248448?lang=en-gb,8
https://twitter.com/crystal1johnson/status/780864169637576705,http://web.archive.org/web/20161001035733/https://twitter.com/crystal1johnson/status/780864169637576705?lang=en-gb,7
https://twitter.com/crystal1johnson/status/792555517944205312,http://web.archive.org/web/20161201030839/https://twitter.com/crystal1johnson/status/792555517944205312,7
https://twitter.com/crystal1johnson/status/801618767218253824,http://web.archive.org/web/20161124204107/https://twitter.com/crystal1johnson/status/801618767218253824?lang=en-gb,7
https://twitter.com/crystal1johnson/status/802985296883163136,http://web.archive.org/web/20161215012235/https://twitter.com/Crystal1Johnson/status/802985296883163136,7
https://twitter.com/crystal1johnson/status/858829975113261057,http://web.archive.org/web/20170522151508/https://twitter.com/crystal1johnson/status/858829975113261057?lang=en-gb,7
https://twitter.com/crystal1johnson/status/884928757584154624,http://web.archive.org/web/20170803210938/https://twitter.com/Crystal1Johnson/status/884928757584154624,7
https://twitter.com/crystal1johnson/status/781934291894738944,http://web.archive.org/web/20161001035742/https://twitter.com/crystal1johnson/status/781934291894738944?lang=en-gb,6
https://twitter.com/crystal1johnson/status/792561046229749760,http://web.archive.org/web/20161201030828/https://twitter.com/crystal1johnson/status/792561046229749760,6
https://twitter.com/crystal1johnson/status/792803967533219846,http://web.archive.org/web/20161201030800/https://twitter.com/crystal1johnson/status/792803967533219846,6
https://twitter.com/crystal1johnson/status/798679164056276996,http://web.archive.org/web/20161201022753/https://twitter.com/crystal1johnson/status/798679164056276996,6
https://twitter.com/crystal1johnson/status/803424439912185857,http://web.archive.org/web/20161215002248/https://twitter.com/Crystal1Johnson/status/803424439912185857,6
https://twitter.com/crystal1johnson/status/779458319870066688,http://web.archive.org/web/20170221155651/https://twitter.com/Crystal1Johnson/status/779458319870066688,5
https://twitter.com/crystal1johnson/status/783866210928631808,http://web.archive.org/web/20170602225501/https://twitter.com/Crystal1Johnson/status/783866210928631808,5
https://twitter.com/crystal1johnson/status/785614679682846720,http://web.archive.org/web/20161201040037/https://twitter.com/crystal1johnson/status/785614679682846720,5
https://twitter.com/crystal1johnson/status/796537175986806785,http://web.archive.org/web/20161201024326/https://twitter.com/crystal1johnson/status/796537175986806785,5
https://twitter.com/crystal1johnson/status/798597080545632256,http://web.archive.org/web/20161201022923/https://twitter.com/crystal1johnson/status/798597080545632256,5
https://twitter.com/crystal1johnson/status/801931761970098176,http://web.archive.org/web/20161129134139/https://twitter.com/crystal1johnson/status/801931761970098176?lang=en-gb,5
https://twitter.com/crystal1johnson/status/802588676001648641,http://web.archive.org/web/20161206093256/https://twitter.com/Crystal1Johnson/status/802588676001648641,5
https://twitter.com/crystal1johnson/status/806927640846159872,http://web.archive.org/web/20161221014024/https://twitter.com/Crystal1Johnson/status/806927640846159872,5
https://twitter.com/crystal1johnson/status/856274911547072514,http://web.archive.org/web/20171128130051/https://twitter.com/crystal1johnson/status/856274911547072514,5
https://twitter.com/crystal1johnson/status/860561442302570496,http://web.archive.org/web/20170707160655/https://twitter.com/crystal1johnson/status/860561442302570496?lang=en-gb,5
https://twitter.com/crystal1johnson/status/879450104465326080,http://web.archive.org/web/20170725121600/https://twitter.com/crystal1johnson/status/879450104465326080?lang=en-gb,5
https://twitter.com/crystal1johnson/status/742107408797818881,http://web.archive.org/web/20200524141905/https://twitter.com/Crystal1Johnson/status/742107408797818881,4
https://twitter.com/crystal1johnson/status/792431906025451520,http://web.archive.org/web/20161201031230/https://twitter.com/crystal1johnson/status/792431906025451520,4
https://twitter.com/crystal1johnson/status/792524545206919169,http://web.archive.org/web/20161201030929/https://twitter.com/crystal1johnson/status/792524545206919169,4
https://twitter.com/crystal1johnson/status/793566936130916353,http://web.archive.org/web/20161201030319/https://twitter.com/crystal1johnson/status/793566936130916353,4
https://twitter.com/crystal1johnson/status/794261036413157376,http://web.archive.org/web/20161201025823/https://twitter.com/Crystal1Johnson/status/794261036413157376,4
https://twitter.com/crystal1johnson/status/800469424901791744,http://web.archive.org/web/20161201021607/https://twitter.com/Crystal1Johnson/status/800469424901791744,4
https://twitter.com/crystal1johnson/status/800863600885698560,http://web.archive.org/web/20161204033557/https://twitter.com/Crystal1Johnson/status/800863600885698560,4
https://twitter.com/crystal1johnson/status/800864574899687424,http://web.archive.org/web/20161204033552/https://twitter.com/Crystal1Johnson/status/800864574899687424,4
https://twitter.com/crystal1johnson/status/801153670091919360,http://web.archive.org/web/20200509202947/https://twitter.com/Crystal1Johnson/status/801153670091919360,4
